timestamp,label,value,WMA,MA,EWMA,Holt-winter,Diff
1514736000,0,0,,,,,
1514739600,0,61,,,61.0,,
1514743200,0,1495,,,1482.8,,
1514746800,0,1208,,,899.24,,
1514750400,0,1347,,,858.3919999999999,,
1514754000,0,1483,,,822.7135999999998,,
1514757600,0,776,,,48.829120000000216,,
1514761200,0,769,,,46.063296000000264,,
1514764800,0,882,,,76.1493631999997,,
1514768400,0,1249,,,427.91949055999976,,
1514772000,0,2403,,,1496.3355924479997,,
1514775600,0,2159,,,953.0684739583999,,
1514779200,0,2194,791.1153846153845,1041.3333333333333,797.4547791667198,,
1514782800,0,1816,252.91025641025635,480.5,259.9638233333758,,
1514786400,0,2340,702.9871794871794,858.25,731.9710586667004,,
1514790000,0,1706,63.05128205128199,153.83333333333326,48.42315306663977,,
1514793600,0,1687,105.71794871794873,93.33333333333326,57.738522453312044,,
1514797200,0,748,1059.076923076923,874.0,985.1908179626498,,
1514800800,0,252,1420.6153846153845,1308.75,1284.1526543701198,,
1514804400,0,371,1100.2692307692307,1146.0833333333333,908.3221234960961,,
1514808000,0,337,957.948717948718,1146.9166666666667,760.657698796877,,
1514811600,0,325,793.5,1113.5,620.5261590375015,,
1514815200,0,672,275.19230769230774,689.5,149.42092723000133,,
1514818800,0,980,138.88461538461536,237.25,188.46325821599896,,
1514822400,0,1579,774.3846153846154,460.0,749.7706065727991,,1579.0
1514826000,0,1504,628.6153846153846,436.25,524.8164852582393,,1443.0
1514829600,0,1700,757.5,658.25,615.8531882065913,,205.0
1514833200,0,1418,374.2307692307693,429.58333333333337,210.682550565273,,210.0
1514836800,0,822,287.85897435897436,142.41666666666663,427.4539595477818,,525.0
1514840400,0,1102,14.051282051281987,209.66666666666663,61.963167638225514,,381.0
1514844000,0,1050,70.20512820512818,128.16666666666663,101.57053411058041,,274.0
1514847600,0,947,192.9230769230769,41.33333333333337,184.25642728846424,,178.0
1514851200,0,1646,512.4358974358975,609.6666666666667,551.5948581692285,,764.0
1514854800,0,1749,521.6410256410256,603.5833333333333,544.2758865353826,,500.0
1514858400,0,2618,1297.7820512820513,1353.9166666666667,1304.4207092283061,,215.0
1514862000,0,1997,468.48717948717945,570.75,422.536567382645,,162.0
1514865600,0,1540,76.32051282051293,29.0,118.97074609388415,,654.0
1514869200,0,1677,56.21794871794873,169.25,41.82340312489259,,139.0
1514872800,0,918,728.8205128205129,604.1666666666667,725.5412775000862,,1422.0
1514876400,0,611,942.8717948717949,846.0,887.4330220000688,,1095.0
1514880000,0,835,588.7179487179487,554.75,485.94641760005516,,852.0
1514883600,0,576,762.3717948717949,814.8333333333333,647.7571340800441,,172.0
1514887200,0,483,730.0128205128206,864.0,611.2057072640353,,231.0
1514890800,0,346,734.0897435897436,953.75,625.9645658112282,,25.0
1514894400,0,327,606.3589743589744,922.6666666666667,519.7716526489827,,10.0
1514898000,0,430,361.41025641025647,709.75,312.8173221191862,,105.0
1514901600,0,493,189.21794871794873,536.8333333333333,187.25385769534898,,179.0
1514905200,0,855,255.37179487179492,2.25,212.19691384372072,,125.0
1514908800,0,1537,937.025641025641,779.4166666666666,851.7575310749766,1545.276739201644,42.0
1514912400,0,1391,671.1153846153846,633.6666666666666,535.4060248599812,1026.5955396458335,113.0
1514916000,0,1536,718.6282051282051,802.5,573.3248198879849,344.7621055846487,164.0
1514919600,0,1386,445.16666666666663,601.0,308.6598559103877,253.89861818564827,32.0
1514923200,0,1507,473.7051282051282,657.4166666666666,367.9278847283101,210.13274226542217,685.0
1514926800,0,1647,512.5641025641025,741.4166666666666,434.34230778264805,315.5443386850884,545.0
1514930400,0,1631,382.5,636.1666666666666,331.47384622611844,224.27273665792563,581.0
1514934000,0,1487,140.62820512820508,396.5,121.1790769808947,33.977568137644994,540.0
1514937600,0,1040,367.3717948717949,145.58333333333326,350.05673841528437,774.55255025612,606.0
